draw,date,n1,n2,n3,n4,n5,n6,bonus
1,20021207,10,23,29,33,37,40,16
2,20021214,9,13,21,25,32,42,2
3,20021221,11,16,19,21,27,31,30
4,20021228,14,27,30,31,40,42,2
5,20030104,16,24,29,40,41,42,3
6,20030111,14,15,26,27,40,42,34
7,20030118,2,9,16,25,26,40,42
8,20030125,8,19,25,34,37,39,9
9,20030201,2,4,16,17,36,39,14
10,20030208,9,25,30,33,41,44,6
11,20030215,1,7,36,37,41,42,14
12,20030222,2,11,21,25,39,45,44
13,20030301,22,23,25,37,38,42,26
14,20030308,2,6,12,31,33,40,15
15,20030315,3,4,16,30,31,37,13
16,20030322,6,7,24,37,38,40,33
17,20030329,3,4,9,17,32,37,1
18,20030405,3,12,13,19,32,35,29
19,20030412,6,30,38,39,40,43,26
20,20030419,10,14,18,20,23,30,41
21,20030426,6,12,17,18,31,32,21
22,20030503,4,5,6,8,17,39,25
23,20030510,5,13,17,18,33,42,44
24,20030517,7,8,27,29,36,43,6
25,20030524,2,4,21,26,43,44,16
26,20030531,4,5,7,18,20,25,31
27,20030607,1,20,26,28,37,43,27
28,20030614,9,18,23,25,35,37,1
29,20030621,1,5,13,34,39,40,11
30,20030628,8,17,20,35,36,44,4
31,20030705,7,9,18,23,28,35,32
32,20030712,6,14,19,25,34,44,11
33,20030719,4,7,32,33,40,41,9
34,20030726,9,26,35,37,40,42,2
35,20030802,2,3,11,26,37,43,39
36,20030809,1,10,23,26,28,40,31
37,20030816,7,27,30,33,35,37,42
38,20030823,16,17,22,30,37,43,36
39,20030830,6,7,13,15,21,43,8
40,20030906,7,13,18,19,25,26,6
41,20030913,13,20,23,35,38,43,34
42,20030920,17,18,19,21,23,32,1
43,20030927,6,31,35,38,39,44,1
44,20031004,3,11,21,30,38,45,39
45,20031011,1,10,20,27,33,35,17
46,20031018,8,13,15,23,31,38,39
47,20031025,14,17,26,31,36,45,27
48,20031101,6,10,18,26,37,38,3
49,20031108,4,7,16,19,33,40,30
50,20031115,2,10,12,15,22,44,1
51,20031122,2,3,11,16,26,44,35
52,20031129,2,4,15,16,20,29,1
53,20031206,7,8,14,32,33,39,42
54,20031213,1,8,21,27,36,39,37
55,20031220,17,21,31,37,40,44,7
56,20031227,10,14,30,31,33,37,19
57,20040103,7,10,16,25,29,44,6
58,20040110,10,24,25,33,40,44,1
59,20040117,6,29,36,39,41,45,13
60,20040124,2,8,25,36,39,42,11
61,20040131,14,15,19,30,38,43,8
62,20040207,3,8,15,27,29,35,21
63,20040214,3,20,23,36,38,40,5
64,20040221,14,15,18,21,26,36,39
65,20040228,4,25,33,36,40,43,39
66,20040306,2,3,7,17,22,24,45
67,20040313,3,7,10,15,36,38,33
68,20040320,10,12,15,16,26,39,38
69,20040327,5,8,14,15,19,39,35
70,20040403,5,19,22,25,28,43,26
71,20040410,5,9,12,16,29,41,21
72,20040417,2,4,11,17,26,27,1
73,20040424,3,12,18,32,40,43,38
74,20040501,6,15,17,18,35,40,23
75,20040508,2,5,24,32,34,44,28
76,20040515,1,3,15,22,25,37,43
77,20040522,2,18,29,32,43,44,37
78,20040529,10,13,25,29,33,35,38
79,20040605,3,12,24,27,30,32,14
80,20040612,17,18,24,25,26,30,1
81,20040619,5,7,11,13,20,33,6
82,20040626,1,2,3,14,27,42,39
83,20040703,6,10,15,17,19,34,14
84,20040710,16,23,27,34,42,45,11
85,20040717,6,8,13,23,31,36,21
86,20040724,2,12,37,39,41,45,33
87,20040731,4,12,16,23,34,43,26
88,20040807,1,17,20,24,30,41,27
89,20040814,4,26,28,29,33,40,37
90,20040821,17,20,29,35,38,44,10
91,20040828,1,21,24,26,29,42,27
92,20040904,3,14,24,33,35,36,17
93,20040911,6,22,24,36,38,44,19
94,20040918,5,32,34,40,41,45,6
95,20040925,8,17,27,31,34,43,14
96,20041002,1,3,8,21,22,31,20
97,20041009,6,7,14,15,20,36,3
98,20041016,6,9,16,23,24,32,43
99,20041023,1,3,10,27,29,37,11
100,20041030,1,7,11,23,37,42,6
101,20041106,1,3,17,32,35,45,8
102,20041113,17,22,24,26,35,40,42
103,20041120,5,14,15,27,30,45,10
104,20041127,17,32,33,34,42,44,35
105,20041204,8,10,20,34,41,45,28
106,20041211,4,10,12,22,24,33,29
107,20041218,1,4,5,6,9,31,17
108,20041225,7,18,22,23,29,44,12
109,20050101,1,5,34,36,42,44,33
110,20050108,7,20,22,23,29,43,1
111,20050115,7,18,31,33,36,40,27
112,20050122,26,29,30,33,41,42,43
113,20050129,4,9,28,33,36,45,26
114,20050205,11,14,19,26,28,41,2
115,20050212,1,2,6,9,25,28,31
116,20050219,2,4,25,31,34,37,17
117,20050226,5,10,22,34,36,44,35
118,20050305,3,4,10,17,19,22,38
119,20050312,3,11,13,14,17,21,38
120,20050319,4,6,10,11,32,37,30
121,20050326,12,28,30,34,38,43,9
122,20050402,1,11,16,17,36,40,8
123,20050409,7,17,18,28,30,45,27
124,20050416,4,16,23,25,29,42,1
125,20050423,2,8,32,33,35,36,18
126,20050430,7,20,22,27,40,43,1
127,20050507,3,5,10,29,32,43,35
128,20050514,12,30,34,36,37,45,39
129,20050521,19,23,25,28,38,42,17
130,20050528,7,19,24,27,42,45,31
131,20050604,8,10,11,14,15,21,37
132,20050611,3,17,23,34,41,45,43
133,20050618,4,7,15,18,23,26,13
134,20050625,3,12,20,23,31,35,43
135,20050702,6,14,22,28,35,39,16
136,20050709,2,16,30,36,41,42,11
137,20050716,7,9,20,25,36,39,15
138,20050723,10,11,27,28,37,39,19
139,20050730,9,11,15,20,28,43,13
140,20050806,3,13,17,18,19,28,8
141,20050813,8,12,29,31,42,43,2
142,20050820,12,16,30,34,40,44,19
143,20050827,26,27,28,42,43,45,8
144,20050903,4,15,17,26,36,37,43
145,20050910,2,3,13,20,27,44,9
146,20050917,2,19,27,35,41,42,25
147,20050924,4,6,13,21,40,42,36
148,20051001,21,25,33,34,35,36,17
149,20051008,2,11,21,34,41,42,27
150,20051015,2,18,25,28,37,39,16
151,20051022,1,2,10,13,18,19,15
152,20051029,1,5,13,26,29,34,43
153,20051105,3,8,11,12,13,36,33
154,20051112,6,19,21,35,40,45,20
155,20051119,16,19,20,32,33,41,4
156,20051126,5,18,28,30,42,45,2
157,20051203,19,26,30,33,35,39,37
158,20051210,4,9,13,18,21,34,7
159,20051217,1,18,30,41,42,43,32
160,20051224,3,7,8,34,39,41,1
161,20051231,22,34,36,40,42,45,44
162,20060107,1,5,21,25,38,41,24
163,20060114,7,11,26,28,29,44,16
164,20060121,6,9,10,11,39,41,27
165,20060128,5,13,18,19,22,42,31
166,20060204,9,12,27,36,39,45,14
167,20060211,24,27,28,30,36,39,4
168,20060218,3,10,31,40,42,43,30
169,20060225,16,27,35,37,43,45,19
170,20060304,2,11,13,15,31,42,10
171,20060311,4,16,25,29,34,35,1
172,20060318,4,19,21,24,26,41,35
173,20060325,3,9,24,30,33,34,18
174,20060401,13,14,18,22,35,39,16
175,20060408,19,26,28,31,33,36,17
176,20060415,4,17,30,32,33,34,15
177,20060422,1,10,13,16,37,43,6
178,20060429,1,5,11,12,18,23,9
179,20060506,5,9,17,25,39,43,32
180,20060513,2,15,20,21,29,34,22
181,20060520,14,21,23,32,40,45,44
182,20060527,13,15,27,29,34,40,35
183,20060603,2,18,24,34,40,42,5
184,20060610,1,2,6,16,20,33,41
185,20060617,1,2,4,8,19,38,14
186,20060624,4,10,14,19,21,45,9
187,20060701,1,2,8,18,29,38,42
188,20060708,19,24,27,30,31,34,36
189,20060715,8,14,32,35,37,45,28
190,20060722,8,14,18,30,31,44,15
191,20060729,5,6,24,25,32,37,8
192,20060805,4,8,11,18,37,45,33
193,20060812,6,14,18,26,36,39,13
194,20060819,15,20,23,26,39,44,28
195,20060826,7,10,19,22,35,40,31
196,20060902,35,36,37,41,44,45,30
197,20060909,7,12,16,34,42,45,4
198,20060916,12,19,20,25,41,45,2
199,20060923,14,21,22,25,30,36,43
200,20060930,5,6,13,14,17,20,7
201,20061007,3,11,24,38,39,44,26
202,20061014,12,14,27,33,39,44,17
203,20061021,1,3,11,24,30,32,7
204,20061028,3,12,14,35,40,45,5
205,20061104,1,3,21,29,35,37,30
206,20061111,1,2,3,15,20,25,43
207,20061118,3,11,14,31,32,37,38
208,20061125,14,25,31,34,40,44,24
209,20061202,2,7,18,20,24,33,37
210,20061209,10,19,22,23,25,37,39
211,20061216,12,13,17,20,33,41,8
212,20061223,11,12,18,21,31,38,8
213,20061230,2,3,4,5,20,24,42
214,20070106,5,7,20,25,28,37,32
215,20070113,2,3,7,15,43,44,4
216,20070120,7,16,17,33,36,40,1
217,20070127,16,20,27,33,35,39,38
218,20070203,1,8,14,18,29,44,20
219,20070210,4,11,20,26,35,37,16
220,20070217,5,11,19,21,34,43,31
221,20070224,2,20,33,35,37,40,10
222,20070303,5,7,28,29,39,43,44
223,20070310,1,3,18,20,26,27,38
224,20070317,4,19,26,27,30,42,7
225,20070324,5,11,13,19,31,36,7
226,20070331,2,6,8,14,21,22,34
227,20070407,4,5,15,16,22,42,2
228,20070414,17,25,35,36,39,44,23
229,20070421,4,5,9,11,23,38,35
230,20070428,5,11,14,29,32,33,12
231,20070505,5,10,19,31,44,45,27
232,20070512,8,9,10,12,24,44,35
233,20070519,4,6,13,17,28,40,39
234,20070526,13,21,22,24,26,37,4
235,20070602,21,22,26,27,31,37,8
236,20070609,1,4,8,13,37,39,7
237,20070616,1,11,17,21,24,44,33
238,20070623,2,4,15,28,31,34,35
239,20070630,11,15,24,39,41,44,7
240,20070707,6,10,16,40,41,43,21
241,20070714,2,16,24,27,28,35,21
242,20070721,4,19,20,21,32,34,43
243,20070728,2,12,17,19,28,42,34
244,20070804,13,16,25,36,37,38,19
245,20070811,9,11,27,31,32,38,22
246,20070818,13,18,21,23,26,39,15
247,20070825,12,15,28,36,39,40,13
248,20070901,3,8,17,23,38,45,13
249,20070908,3,8,27,31,41,44,11
250,20070915,19,23,30,37,43,45,38
251,20070922,6,7,19,25,28,38,45
252,20070929,14,23,26,31,39,45,28
253,20071006,8,19,25,31,34,36,33
254,20071013,1,5,19,20,24,30,27
255,20071020,1,5,6,24,27,42,32
256,20071027,4,11,14,21,23,43,32
257,20071103,6,13,27,31,32,37,4
258,20071110,14,27,30,31,38,40,17
259,20071117,4,5,14,35,42,45,34
260,20071124,7,12,15,24,37,40,43
261,20071201,6,11,16,18,31,43,2
262,20071208,9,12,24,25,29,31,36
263,20071215,1,27,28,32,37,40,18
264,20071222,9,16,27,36,41,44,5
265,20071229,5,9,34,37,38,39,12
266,20080105,3,4,9,11,22,42,37
267,20080112,7,8,24,34,36,41,1
268,20080119,3,10,19,24,32,45,12
269,20080126,5,18,20,36,42,43,32
270,20080202,5,9,12,20,21,26,27
271,20080209,3,8,9,27,29,40,36
272,20080216,7,9,12,27,39,43,28
273,20080223,1,8,24,31,34,44,6
274,20080301,13,14,15,26,35,39,25
275,20080308,14,19,20,35,38,40,26
276,20080315,4,15,21,33,39,41,25
277,20080322,10,12,13,15,25,29,20
278,20080329,3,11,37,39,41,43,13
279,20080405,7,16,31,36,37,38,11
280,20080412,10,11,23,24,36,37,35
281,20080419,1,3,4,6,14,41,12
282,20080426,2,5,10,18,31,32,30
283,20080503,6,8,18,31,38,45,42
284,20080510,2,7,15,24,30,45,28
285,20080517,13,33,37,40,41,45,2
286,20080524,1,15,19,40,42,44,17
287,20080531,6,12,24,27,35,37,41
288,20080607,1,12,17,28,35,41,10
289,20080614,3,14,33,37,38,42,10
290,20080621,8,13,18,32,39,45,7
291,20080628,3,7,8,18,20,42,45
292,20080705,17,18,31,32,33,34,10
293,20080712,1,9,17,21,29,33,24
294,20080719,6,10,17,30,37,38,40
295,20080726,1,4,12,16,18,38,8
296,20080802,3,8,15,27,30,45,44
297,20080809,6,11,19,20,28,32,34
298,20080816,5,9,27,29,37,40,19
299,20080823,1,3,20,25,36,45,24
300,20080830,7,9,10,12,26,38,39
301,20080906,7,11,13,33,37,43,26
302,20080913,13,19,20,32,38,42,4
303,20080920,2,14,17,30,38,45,43
304,20080927,4,10,16,26,33,41,38
305,20081004,7,8,18,21,23,39,9
306,20081011,4,18,23,30,34,41,19
307,20081018,5,15,21,23,25,45,12
308,20081025,14,15,17,19,37,45,40
309,20081101,1,2,5,11,18,36,22
310,20081108,1,5,19,28,34,41,16
311,20081115,4,12,24,27,28,32,10
312,20081122,2,3,5,6,12,20,25
313,20081129,9,17,34,35,43,45,2
314,20081206,15,17,19,34,38,41,2
315,20081213,1,13,33,35,43,45,23
316,20081220,10,11,21,27,31,39,43
317,20081227,3,10,11,22,36,39,8
318,20090103,2,17,19,20,34,45,21
319,20090110,5,8,22,28,33,42,37
320,20090117,16,19,23,25,41,45,3
321,20090124,12,18,20,21,25,34,42
322,20090131,9,18,29,32,38,43,20
323,20090207,10,14,15,32,36,42,3
324,20090214,2,4,21,25,33,36,17
325,20090221,7,17,20,32,44,45,33
326,20090228,16,23,25,33,36,39,40
327,20090307,6,12,13,17,32,44,24
328,20090314,1,6,9,16,17,28,24
329,20090321,9,17,19,30,35,42,4
330,20090328,3,4,16,17,19,20,23
331,20090404,4,9,14,26,31,44,39
332,20090411,16,17,34,36,42,45,3
333,20090418,5,14,27,30,39,43,35
334,20090425,13,15,21,29,39,43,33
335,20090502,5,9,16,23,26,45,21
336,20090509,3,5,20,34,35,44,16
337,20090516,1,5,14,18,32,37,4
338,20090523,2,13,34,38,42,45,16
339,20090530,6,8,14,21,30,37,45
340,20090606,18,24,26,29,34,38,32
341,20090613,1,8,19,34,39,43,41
342,20090620,1,13,14,33,34,43,25
343,20090627,1,10,17,29,31,43,15
344,20090704,1,2,15,28,34,45,38
345,20090711,15,20,23,29,39,42,2
346,20090718,5,13,14,22,44,45,33
347,20090725,3,8,13,27,32,42,10
348,20090801,3,14,17,20,24,31,34
349,20090808,5,13,14,20,24,25,36
350,20090815,1,8,18,24,29,33,35
351,20090822,5,25,27,29,34,36,33
352,20090829,5,16,17,20,26,41,24
353,20090905,11,16,19,22,29,36,26
354,20090912,14,19,36,43,44,45,1
355,20090919,5,8,29,30,35,44,38
356,20090926,2,8,14,25,29,45,24
357,20091003,10,14,18,21,36,37,5
358,20091010,1,9,10,12,21,40,37
359,20091017,1,10,19,20,24,40,23
360,20091024,4,16,23,25,35,40,27
361,20091031,5,10,16,24,27,35,33
362,20091107,2,3,22,27,30,40,29
363,20091114,11,12,14,21,32,38,6
364,20091121,2,5,7,14,16,40,4
365,20091128,5,15,21,25,26,30,31
366,20091205,5,12,19,26,27,44,38
367,20091212,3,22,25,29,32,44,19
368,20091219,11,21,24,30,39,45,26
369,20091226,17,20,35,36,41,43,21
370,20100102,16,18,24,42,44,45,17
371,20100109,7,9,15,26,27,42,18
372,20100116,8,11,14,16,18,21,13
373,20100123,15,26,37,42,43,45,9
374,20100130,11,13,15,17,25,34,26
375,20100206,4,8,19,25,27,45,7
376,20100213,1,11,13,24,28,40,7
377,20100220,6,22,29,37,43,45,23
378,20100227,5,22,29,31,34,39,43
379,20100306,6,10,22,31,35,40,19
380,20100313,1,2,8,17,26,37,27
381,20100320,1,5,10,12,16,20,11
382,20100327,10,15,22,24,27,42,19
383,20100403,4,15,28,33,37,40,25
384,20100410,11,22,24,32,36,38,7
385,20100417,7,12,19,21,29,32,9
386,20100424,4,7,10,19,31,40,26
387,20100501,1,26,31,34,40,43,20
388,20100508,1,8,9,17,29,32,45
389,20100515,7,16,18,20,23,26,3
390,20100522,16,17,28,37,39,40,15
391,20100529,10,11,18,22,28,39,30
392,20100605,1,3,7,8,24,42,43
393,20100612,9,16,28,40,41,43,21
394,20100619,1,13,20,22,25,28,15
395,20100626,11,15,20,26,31,35,7
396,20100703,18,20,31,34,40,45,30
397,20100710,12,13,17,22,25,33,8
398,20100717,10,15,20,23,42,44,7
399,20100724,1,2,9,17,19,42,20
400,20100731,9,21,27,34,41,43,2
401,20100807,6,12,18,31,38,43,9
402,20100814,5,9,15,19,22,36,32
403,20100821,10,14,22,24,28,37,26
404,20100828,5,20,21,24,33,40,36
405,20100904,1,2,10,25,26,44,4
406,20100911,7,12,21,24,27,36,45
407,20100918,6,7,13,16,24,25,1
408,20100925,9,20,21,22,30,37,16
409,20101002,6,9,21,31,32,40,38
410,20101009,1,3,18,32,40,41,16
411,20101016,11,14,22,35,37,39,5
412,20101023,4,7,39,41,42,45,40
413,20101030,2,9,15,23,34,40,3
414,20101106,2,14,15,22,23,44,43
415,20101113,7,17,20,26,30,40,24
416,20101120,5,6,8,11,22,26,44
417,20101127,4,5,14,20,22,43,44
418,20101204,11,13,15,26,28,34,31
419,20101211,2,11,13,14,28,30,7
420,20101218,4,9,10,29,31,34,27
421,20101225,6,11,26,27,28,44,30
422,20110101,8,15,19,21,34,44,12
423,20110108,1,17,27,28,29,40,5
424,20110115,10,11,26,31,34,44,30
425,20110122,8,10,14,27,33,38,3
426,20110129,4,17,18,27,39,43,19
427,20110205,6,7,15,24,28,30,21
428,20110212,12,16,19,22,37,40,8
429,20110219,3,23,28,34,39,42,16
430,20110226,1,3,16,18,30,34,44
431,20110305,18,22,25,31,38,45,6
432,20110312,2,3,5,11,27,39,33
433,20110319,19,23,29,33,35,43,27
434,20110326,3,13,20,24,33,37,35
435,20110402,8,16,26,30,38,45,42
436,20110409,9,14,20,22,33,34,28
437,20110416,11,16,29,38,41,44,21
438,20110423,6,12,20,26,29,38,45
439,20110430,17,20,30,31,37,40,25
440,20110507,10,22,28,34,36,44,2
441,20110514,1,23,28,30,34,35,9
442,20110521,25,27,29,36,38,40,41
443,20110528,4,6,10,19,20,44,14
